C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_38_419.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_38_419.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_38_419.jpg,0,0,0,6.467266E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_38_539.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_38_539.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_38_539.jpg,0,0,0,1.112304E-05
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_38_655.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_38_655.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_38_655.jpg,0,0,0,7.957316E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_38_774.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_38_774.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_38_774.jpg,0,0,0,2.109257E-05
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_38_890.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_38_890.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_38_890.jpg,0,0,0,4.948274E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_39_009.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_39_009.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_39_009.jpg,0,0,0,5.532938E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_39_128.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_39_128.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_39_128.jpg,0,0,0,3.593419E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_39_249.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_39_249.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_39_249.jpg,0,0,0,1.859977E-06
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_39_365.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_39_365.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_39_365.jpg,0,0,0,1.097952E-05
C:\Users\Lenovo\Desktop\trainingdata\IMG\center_2019_07_02_01_58_39_482.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\left_2019_07_02_01_58_39_482.jpg,C:\Users\Lenovo\Desktop\trainingdata\IMG\right_2019_07_02_01_58_39_482.jpg,0,0,0,1.201482E-05
